Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths,Year
Hurricane Marilyn (September 1995),Tropical Cyclone,1995-09-15,19950917,4326.0,2100.0,13,1995
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,1995-07-01,19950930,2027.0,984.0,872,1995
Hurricane Opal (October 1995),Tropical Cyclone,1995-10-04,19951006,9612.5,4689.0,27,1995
Blizzard/Floods (January 1996),Winter Storm,1996-01-01,19960131,6126.2,3003.0,187,1996
Pacific Northwest Severe Flooding (February 1996),Flooding,1996-02-07,19960212,2056.9,1008.3,9,1996
Southern Plains Drought (Spring-Summer 1996),Drought,1996-03-01,19960831,3654.5,1791.5,0,1996
Hurricane Fran (September 1996),Tropical Cyclone,1996-09-05,19960908,10014.0,5007.0,37,1996
New England Flooding (October 1996),Flooding,1996-10-19,19961022,1352.0,676.0,1,1996
West Coast Flooding (December 1996-January 1997),Flooding,1997-01-01,19970111,5973.6,3017.0,36,1997
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,1997-02-28,19970305,1935.5,977.5,67,1997
Northern Plains Flooding (Spring 1997),Flooding,1997-02-03,19970524,7279.5,3676.5,11,1997
Northeast Ice Storm (January 1998),Winter Storm,1998-01-05,19980109,2733.5,1401.8,16,1998
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,1997-12-01,19980228,1968.7,1004.5,132,1997
Minnesota Severe Storms/Hail (May 1998),Severe Storm,1998-05-15,19980515,3164.6,1631.3,1,1998
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,1998-05-30,19980602,2208.3,1138.4,20,1998
Central and Eastern Severe Storms and Flooding (June 1998),Severe Storm,1998-06-20,19980624,1734.5,894.0,12,1998
Tropical Storm Frances (September 1998),Tropical Cyclone,1998-08-08,19980813,1351.0,700.0,2,1998
Hurricane Bonnie (August 1998),Tropical Cyclone,1998-08-27,19980829,1891.4,980.0,3,1998
Southern Drought and Heat Wave (Summer 1998),Drought,1998-06-01,19980831,6879.7,3528.0,200,1998
